title,genre,rating,revenue,release_date
Pirates of the Caribbean: On Stranger Tides,asy,6.4,1045713802,2011-05-14 00:00:00
Men in Black 3,on,6.2,624026776,2012-05-23 00:00:00
Men in Black 3,dy,6.2,624026776,2012-05-23 00:00:00
Men in Black 3,nce Fiction,6.2,624026776,2012-05-23 00:00:00
The Hobbit: The Battle of the Five Armies,on,7.1,956019788,2014-12-10 00:00:00
The Hobbit: The Battle of the Five Armies,nture,7.1,956019788,2014-12-10 00:00:00
The Hobbit: The Battle of the Five Armies,asy,7.1,956019788,2014-12-10 00:00:00
The Amazing Spider-Man,on,6.5,752215857,2012-06-27 00:00:00
The Amazing Spider-Man,nture,6.5,752215857,2012-06-27 00:00:00
The Amazing Spider-Man,asy,6.5,752215857,2012-06-27 00:00:00
Robin Hood,on,6.2,310669540,2010-05-12 00:00:00
Robin Hood,nture,6.2,310669540,2010-05-12 00:00:00
The Hobbit: The Desolation of Smaug,nture,7.6,958400000,2013-12-11 00:00:00
The Hobbit: The Desolation of Smaug,asy,7.6,958400000,2013-12-11 00:00:00
The Golden Compass,nture,5.8,372234864,2007-12-04 00:00:00
The Golden Compass,asy,5.8,372234864,2007-12-04 00:00:00
King Kong,nture,6.6,550000000,2005-12-14 00:00:00
King Kong,a,6.6,550000000,2005-12-14 00:00:00
King Kong,on,6.6,550000000,2005-12-14 00:00:00
Titanic,a,7.5,1845034188,1997-11-18 00:00:00
Titanic,nce,7.5,1845034188,1997-11-18 00:00:00
Titanic,ller,7.5,1845034188,1997-11-18 00:00:00
Captain America: Civil War,nture,7.1,1153304495,2016-04-27 00:00:00
Captain America: Civil War,on,7.1,1153304495,2016-04-27 00:00:00
Captain America: Civil War,nce Fiction,7.1,1153304495,2016-04-27 00:00:00
Battleship,ller,5.5,303025485,2012-04-11 00:00:00
Battleship,on,5.5,303025485,2012-04-11 00:00:00
Battleship,nture,5.5,303025485,2012-04-11 00:00:00
Battleship,nce Fiction,5.5,303025485,2012-04-11 00:00:00
Jurassic World,on,6.5,1513528810,2015-06-09 00:00:00
Jurassic World,nture,6.5,1513528810,2015-06-09 00:00:00
Jurassic World,nce Fiction,6.5,1513528810,2015-06-09 00:00:00
Jurassic World,ller,6.5,1513528810,2015-06-09 00:00:00
Skyfall,on,6.9,1108561013,2012-10-25 00:00:00
Skyfall,nture,6.9,1108561013,2012-10-25 00:00:00
Skyfall,ller,6.9,1108561013,2012-10-25 00:00:00
Spider-Man 2,on,6.7,783766341,2004-06-25 00:00:00
Spider-Man 2,nture,6.7,783766341,2004-06-25 00:00:00
Spider-Man 2,asy,6.7,783766341,2004-06-25 00:00:00
Iron Man 3,on,6.8,1215439994,2013-04-18 00:00:00
Iron Man 3,nture,6.8,1215439994,2013-04-18 00:00:00
Iron Man 3,nce Fiction,6.8,1215439994,2013-04-18 00:00:00
Alice in Wonderland,ly,6.4,1025491110,2010-03-03 00:00:00
Alice in Wonderland,asy,6.4,1025491110,2010-03-03 00:00:00
Alice in Wonderland,nture,6.4,1025491110,2010-03-03 00:00:00
X-Men: The Last Stand,nture,6.3,459359555,2006-05-24 00:00:00
X-Men: The Last Stand,on,6.3,459359555,2006-05-24 00:00:00
X-Men: The Last Stand,nce Fiction,6.3,459359555,2006-05-24 00:00:00
X-Men: The Last Stand,ller,6.3,459359555,2006-05-24 00:00:00
Monsters University,ation,7.0,743559607,2013-06-20 00:00:00
Monsters University,ly,7.0,743559607,2013-06-20 00:00:00
Transformers: Revenge of the Fallen,nce Fiction,6.0,836297228,2009-06-19 00:00:00
Transformers: Revenge of the Fallen,on,6.0,836297228,2009-06-19 00:00:00
Transformers: Revenge of the Fallen,nture,6.0,836297228,2009-06-19 00:00:00
Transformers: Age of Extinction,nce Fiction,5.8,1091405097,2014-06-25 00:00:00
Transformers: Age of Extinction,on,5.8,1091405097,2014-06-25 00:00:00
Transformers: Age of Extinction,nture,5.8,1091405097,2014-06-25 00:00:00
Oz: The Great and Powerful,asy,5.7,491868548,2013-03-07 00:00:00
Oz: The Great and Powerful,nture,5.7,491868548,2013-03-07 00:00:00
Oz: The Great and Powerful,ly,5.7,491868548,2013-03-07 00:00:00
The Amazing Spider-Man 2,on,6.5,705717432,2014-04-16 00:00:00
The Amazing Spider-Man 2,nture,6.5,705717432,2014-04-16 00:00:00
The Amazing Spider-Man 2,asy,6.5,705717432,2014-04-16 00:00:00
TRON: Legacy,nture,6.3,400062763,2010-12-10 00:00:00
TRON: Legacy,on,6.3,400062763,2010-12-10 00:00:00
TRON: Legacy,nce Fiction,6.3,400062763,2010-12-10 00:00:00
Cars 2,ation,5.8,559852396,2011-06-11 00:00:00
Cars 2,ly,5.8,559852396,2011-06-11 00:00:00
Cars 2,nture,5.8,559852396,2011-06-11 00:00:00
Cars 2,dy,5.8,559852396,2011-06-11 00:00:00
Green Lantern,nture,5.1,219851172,2011-06-16 00:00:00
Green Lantern,on,5.1,219851172,2011-06-16 00:00:00
Green Lantern,ller,5.1,219851172,2011-06-16 00:00:00
Green Lantern,nce Fiction,5.1,219851172,2011-06-16 00:00:00
Toy Story 3,ation,7.6,1066969703,2010-06-16 00:00:00
Toy Story 3,ly,7.6,1066969703,2010-06-16 00:00:00
Toy Story 3,dy,7.6,1066969703,2010-06-16 00:00:00
Terminator Salvation,on,5.9,371353001,2009-05-20 00:00:00
Terminator Salvation,nce Fiction,5.9,371353001,2009-05-20 00:00:00
Terminator Salvation,ller,5.9,371353001,2009-05-20 00:00:00
Furious 7,on,7.3,1506249360,2015-04-01 00:00:00
World War Z,on,6.7,531865000,2013-06-20 00:00:00
World War Z,a,6.7,531865000,2013-06-20 00:00:00
World War Z,or,6.7,531865000,2013-06-20 00:00:00
World War Z,nce Fiction,6.7,531865000,2013-06-20 00:00:00
World War Z,ller,6.7,531865000,2013-06-20 00:00:00
X-Men: Days of Future Past,on,7.5,747862775,2014-05-15 00:00:00
X-Men: Days of Future Past,nture,7.5,747862775,2014-05-15 00:00:00
X-Men: Days of Future Past,asy,7.5,747862775,2014-05-15 00:00:00
X-Men: Days of Future Past,nce Fiction,7.5,747862775,2014-05-15 00:00:00
Star Trek Into Darkness,on,7.4,467365246,2013-05-05 00:00:00
Star Trek Into Darkness,nture,7.4,467365246,2013-05-05 00:00:00
Star Trek Into Darkness,nce Fiction,7.4,467365246,2013-05-05 00:00:00
Jack the Giant Slayer,on,5.5,197687603,2013-02-27 00:00:00
Jack the Giant Slayer,ly,5.5,197687603,2013-02-27 00:00:00
Jack the Giant Slayer,asy,5.5,197687603,2013-02-27 00:00:00
The Great Gatsby,a,7.3,351040419,2013-05-10 00:00:00
The Great Gatsby,nce,7.3,351040419,2013-05-10 00:00:00
Prince of Persia: The Sands of Time,nture,6.2,335154643,2010-05-19 00:00:00
Prince of Persia: The Sands of Time,asy,6.2,335154643,2010-05-19 00:00:00
Prince of Persia: The Sands of Time,on,6.2,335154643,2010-05-19 00:00:00
Prince of Persia: The Sands of Time,nce,6.2,335154643,2010-05-19 00:00:00
Pacific Rim,on,6.7,407602906,2013-07-11 00:00:00
Pacific Rim,nce Fiction,6.7,407602906,2013-07-11 00:00:00
Pacific Rim,nture,6.7,407602906,2013-07-11 00:00:00
Transformers: Dark of the Moon,on,6.1,1123746996,2011-06-28 00:00:00
Transformers: Dark of the Moon,nce Fiction,6.1,1123746996,2011-06-28 00:00:00
Transformers: Dark of the Moon,nture,6.1,1123746996,2011-06-28 00:00:00
Indiana Jones and the Kingdom of the Crystal Skull,nture,5.7,786636033,2008-05-21 00:00:00
Indiana Jones and the Kingdom of the Crystal Skull,on,5.7,786636033,2008-05-21 00:00:00
The Good Dinosaur,nture,6.6,331926147,2015-11-14 00:00:00
The Good Dinosaur,ation,6.6,331926147,2015-11-14 00:00:00
The Good Dinosaur,ly,6.6,331926147,2015-11-14 00:00:00
Brave,ation,6.7,538983207,2012-06-21 00:00:00
Brave,nture,6.7,538983207,2012-06-21 00:00:00
Brave,dy,6.7,538983207,2012-06-21 00:00:00
Brave,ly,6.7,538983207,2012-06-21 00:00:00
Brave,on,6.7,538983207,2012-06-21 00:00:00
Brave,asy,6.7,538983207,2012-06-21 00:00:00
Star Trek Beyond,on,6.6,343471816,2016-07-07 00:00:00
Star Trek Beyond,nture,6.6,343471816,2016-07-07 00:00:00
Star Trek Beyond,nce Fiction,6.6,343471816,2016-07-07 00:00:00
WALL·E,ation,7.8,521311860,2008-06-22 00:00:00
WALL·E,ly,7.8,521311860,2008-06-22 00:00:00
Rush Hour 3,on,6.1,258022233,2007-08-08 00:00:00
Rush Hour 3,dy,6.1,258022233,2007-08-08 00:00:00
Rush Hour 3,e,6.1,258022233,2007-08-08 00:00:00
Rush Hour 3,ller,6.1,258022233,2007-08-08 00:00:00
2012,on,5.6,769653595,2009-10-10 00:00:00
2012,nture,5.6,769653595,2009-10-10 00:00:00
2012,nce Fiction,5.6,769653595,2009-10-10 00:00:00
A Christmas Carol,ation,6.6,325233863,2009-11-04 00:00:00
A Christmas Carol,a,6.6,325233863,2009-11-04 00:00:00
Jupiter Ascending,nce Fiction,5.2,183987723,2015-02-04 00:00:00
Jupiter Ascending,asy,5.2,183987723,2015-02-04 00:00:00
Jupiter Ascending,on,5.2,183987723,2015-02-04 00:00:00
Jupiter Ascending,nture,5.2,183987723,2015-02-04 00:00:00
The Legend of Tarzan,on,5.5,356743061,2016-06-29 00:00:00
The Legend of Tarzan,nture,5.5,356743061,2016-06-29 00:00:00
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",nture,6.7,748806957,2005-12-07 00:00:00
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",ly,6.7,748806957,2005-12-07 00:00:00
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",asy,6.7,748806957,2005-12-07 00:00:00
X-Men: Apocalypse,nce Fiction,6.4,543934787,2016-05-18 00:00:00
The Dark Knight,a,8.2,1004558444,2008-07-16 00:00:00
The Dark Knight,on,8.2,1004558444,2008-07-16 00:00:00
The Dark Knight,e,8.2,1004558444,2008-07-16 00:00:00
The Dark Knight,ller,8.2,1004558444,2008-07-16 00:00:00
Up,ation,7.7,735099082,2009-05-13 00:00:00
Up,dy,7.7,735099082,2009-05-13 00:00:00
Up,ly,7.7,735099082,2009-05-13 00:00:00
Up,nture,7.7,735099082,2009-05-13 00:00:00
Monsters vs Aliens,ation,6.0,381509870,2009-03-19 00:00:00
Monsters vs Aliens,ly,6.0,381509870,2009-03-19 00:00:00
Monsters vs Aliens,nture,6.0,381509870,2009-03-19 00:00:00
Monsters vs Aliens,nce Fiction,6.0,381509870,2009-03-19 00:00:00
Iron Man,on,7.4,585174222,2008-04-30 00:00:00
Iron Man,nce Fiction,7.4,585174222,2008-04-30 00:00:00
Iron Man,nture,7.4,585174222,2008-04-30 00:00:00
Hugo,nture,7.0,185770160,2011-11-22 00:00:00
Hugo,a,7.0,185770160,2011-11-22 00:00:00
Hugo,ly,7.0,185770160,2011-11-22 00:00:00
Wild Wild West,on,5.1,222104681,1999-06-29 00:00:00
Wild Wild West,nture,5.1,222104681,1999-06-29 00:00:00
Wild Wild West,dy,5.1,222104681,1999-06-29 00:00:00
Wild Wild West,nce Fiction,5.1,222104681,1999-06-29 00:00:00
Wild Wild West,ern,5.1,222104681,1999-06-29 00:00:00
The Mummy: Tomb of the Dragon Emperor,nture,5.2,401128639,2008-07-01 00:00:00
The Mummy: Tomb of the Dragon Emperor,on,5.2,401128639,2008-07-01 00:00:00
The Mummy: Tomb of the Dragon Emperor,asy,5.2,401128639,2008-07-01 00:00:00
Suicide Squad,on,5.9,745000000,2016-08-02 00:00:00
Suicide Squad,nture,5.9,745000000,2016-08-02 00:00:00
Suicide Squad,e,5.9,745000000,2016-08-02 00:00:00
Suicide Squad,asy,5.9,745000000,2016-08-02 00:00:00
Suicide Squad,nce Fiction,5.9,745000000,2016-08-02 00:00:00
Evan Almighty,asy,5.3,173000000,2007-06-09 00:00:00
Evan Almighty,dy,5.3,173000000,2007-06-09 00:00:00
Evan Almighty,ly,5.3,173000000,2007-06-09 00:00:00
Edge of Tomorrow,on,7.6,370541256,2014-05-27 00:00:00
Edge of Tomorrow,nce Fiction,7.6,370541256,2014-05-27 00:00:00
Waterworld,nture,5.9,264218220,1995-07-28 00:00:00
Waterworld,on,5.9,264218220,1995-07-28 00:00:00
G.I. Joe: The Rise of Cobra,nture,5.6,302469017,2009-08-04 00:00:00
G.I. Joe: The Rise of Cobra,on,5.6,302469017,2009-08-04 00:00:00
G.I. Joe: The Rise of Cobra,ller,5.6,302469017,2009-08-04 00:00:00
G.I. Joe: The Rise of Cobra,nce Fiction,5.6,302469017,2009-08-04 00:00:00
Inside Out,a,8.0,857611174,2015-06-09 00:00:00
Inside Out,dy,8.0,857611174,2015-06-09 00:00:00
Inside Out,ation,8.0,857611174,2015-06-09 00:00:00
Inside Out,ly,8.0,857611174,2015-06-09 00:00:00
The Jungle Book,ly,6.7,966550600,2016-04-07 00:00:00
The Jungle Book,nture,6.7,966550600,2016-04-07 00:00:00
The Jungle Book,a,6.7,966550600,2016-04-07 00:00:00
The Jungle Book,asy,6.7,966550600,2016-04-07 00:00:00
Iron Man 2,nture,6.6,623933331,2010-04-28 00:00:00
Iron Man 2,on,6.6,623933331,2010-04-28 00:00:00
Iron Man 2,nce Fiction,6.6,623933331,2010-04-28 00:00:00
Snow White and the Huntsman,nture,5.8,396600000,2012-05-30 00:00:00
Snow White and the Huntsman,asy,5.8,396600000,2012-05-30 00:00:00
Snow White and the Huntsman,a,5.8,396600000,2012-05-30 00:00:00
Maleficent,asy,7.0,758539785,2014-05-28 00:00:00
Maleficent,nture,7.0,758539785,2014-05-28 00:00:00
Maleficent,on,7.0,758539785,2014-05-28 00:00:00
Maleficent,ly,7.0,758539785,2014-05-28 00:00:00
Maleficent,nce,7.0,758539785,2014-05-28 00:00:00
Dawn of the Planet of the Apes,nce Fiction,7.3,710644566,2014-06-26 00:00:00
Dawn of the Planet of the Apes,on,7.3,710644566,2014-06-26 00:00:00
Dawn of the Planet of the Apes,a,7.3,710644566,2014-06-26 00:00:00
Dawn of the Planet of the Apes,ller,7.3,710644566,2014-06-26 00:00:00
The Lovers,on,4.8,0,2015-02-13 00:00:00
The Lovers,nture,4.8,0,2015-02-13 00:00:00
The Lovers,nce Fiction,4.8,0,2015-02-13 00:00:00
The Lovers,nce,4.8,0,2015-02-13 00:00:00
47 Ronin,a,5.9,150962475,2013-12-06 00:00:00
47 Ronin,on,5.9,150962475,2013-12-06 00:00:00
47 Ronin,nture,5.9,150962475,2013-12-06 00:00:00
47 Ronin,asy,5.9,150962475,2013-12-06 00:00:00
Captain America: The Winter Soldier,on,7.6,714766572,2014-03-20 00:00:00
Captain America: The Winter Soldier,nture,7.6,714766572,2014-03-20 00:00:00
Captain America: The Winter Soldier,nce Fiction,7.6,714766572,2014-03-20 00:00:00
Shrek Forever After,dy,6.0,752600867,2010-05-16 00:00:00
Shrek Forever After,nture,6.0,752600867,2010-05-16 00:00:00
Shrek Forever After,asy,6.0,752600867,2010-05-16 00:00:00
Shrek Forever After,ation,6.0,752600867,2010-05-16 00:00:00
Shrek Forever After,ly,6.0,752600867,2010-05-16 00:00:00
Tomorrowland,nture,6.2,209154322,2015-05-19 00:00:00
Tomorrowland,ly,6.2,209154322,2015-05-19 00:00:00
Tomorrowland,ery,6.2,209154322,2015-05-19 00:00:00
Tomorrowland,nce Fiction,6.2,209154322,2015-05-19 00:00:00
Big Hero 6,nture,7.8,652105443,2014-10-24 00:00:00
Big Hero 6,ly,7.8,652105443,2014-10-24 00:00:00
Big Hero 6,ation,7.8,652105443,2014-10-24 00:00:00
Big Hero 6,on,7.8,652105443,2014-10-24 00:00:00
Big Hero 6,dy,7.8,652105443,2014-10-24 00:00:00
Wreck-It Ralph,ly,7.1,471222889,2012-11-01 00:00:00
Wreck-It Ralph,ation,7.1,471222889,2012-11-01 00:00:00
Wreck-It Ralph,dy,7.1,471222889,2012-11-01 00:00:00
Wreck-It Ralph,nture,7.1,471222889,2012-11-01 00:00:00
The Polar Express,nture,6.4,305875730,2004-11-10 00:00:00
The Polar Express,ation,6.4,305875730,2004-11-10 00:00:00
The Polar Express,ly,6.4,305875730,2004-11-10 00:00:00
The Polar Express,asy,6.4,305875730,2004-11-10 00:00:00
Independence Day: Resurgence,on,4.9,389681935,2016-06-22 00:00:00
Independence Day: Resurgence,nture,4.9,389681935,2016-06-22 00:00:00
Independence Day: Resurgence,nce Fiction,4.9,389681935,2016-06-22 00:00:00
How to Train Your Dragon,asy,7.5,494878759,2010-03-05 00:00:00
How to Train Your Dragon,nture,7.5,494878759,2010-03-05 00:00:00
How to Train Your Dragon,ation,7.5,494878759,2010-03-05 00:00:00
How to Train Your Dragon,ly,7.5,494878759,2010-03-05 00:00:00
Terminator 3: Rise of the Machines,on,5.9,435000000,2003-07-02 00:00:00
Terminator 3: Rise of the Machines,ller,5.9,435000000,2003-07-02 00:00:00
Terminator 3: Rise of the Machines,nce Fiction,5.9,435000000,2003-07-02 00:00:00
Guardians of the Galaxy,on,7.9,773328629,2014-07-30 00:00:00
Guardians of the Galaxy,nce Fiction,7.9,773328629,2014-07-30 00:00:00
Guardians of the Galaxy,nture,7.9,773328629,2014-07-30 00:00:00
Interstellar,nture,8.1,675120017,2014-11-05 00:00:00
Interstellar,a,8.1,675120017,2014-11-05 00:00:00
Interstellar,nce Fiction,8.1,675120017,2014-11-05 00:00:00
Inception,on,8.1,825532764,2010-07-14 00:00:00
Inception,ller,8.1,825532764,2010-07-14 00:00:00
Inception,nce Fiction,8.1,825532764,2010-07-14 00:00:00
Inception,ery,8.1,825532764,2010-07-14 00:00:00
Inception,nture,8.1,825532764,2010-07-14 00:00:00
Shin Godzilla,on,6.5,77000000,2016-07-29 00:00:00
Shin Godzilla,nture,6.5,77000000,2016-07-29 00:00:00
Shin Godzilla,a,6.5,77000000,2016-07-29 00:00:00
Shin Godzilla,or,6.5,77000000,2016-07-29 00:00:00
Shin Godzilla,nce Fiction,6.5,77000000,2016-07-29 00:00:00
The Hobbit: An Unexpected Journey,nture,7.0,1021103568,2012-11-26 00:00:00
The Hobbit: An Unexpected Journey,asy,7.0,1021103568,2012-11-26 00:00:00
The Hobbit: An Unexpected Journey,on,7.0,1021103568,2012-11-26 00:00:00
The Fast and the Furious,on,6.6,207283925,2001-06-22 00:00:00
The Fast and the Furious,e,6.6,207283925,2001-06-22 00:00:00
The Fast and the Furious,ller,6.6,207283925,2001-06-22 00:00:00
The Curious Case of Benjamin Button,asy,7.3,333932083,2008-11-24 00:00:00
The Curious Case of Benjamin Button,a,7.3,333932083,2008-11-24 00:00:00
The Curious Case of Benjamin Button,ller,7.3,333932083,2008-11-24 00:00:00
The Curious Case of Benjamin Button,ery,7.3,333932083,2008-11-24 00:00:00
The Curious Case of Benjamin Button,nce,7.3,333932083,2008-11-24 00:00:00
X-Men: First Class,on,7.1,353624124,2011-05-24 00:00:00
X-Men: First Class,nce Fiction,7.1,353624124,2011-05-24 00:00:00
X-Men: First Class,nture,7.1,353624124,2011-05-24 00:00:00
The Hunger Games: Mockingjay - Part 2,on,6.6,653428261,2015-11-18 00:00:00
The Hunger Games: Mockingjay - Part 2,nture,6.6,653428261,2015-11-18 00:00:00
The Hunger Games: Mockingjay - Part 2,nce Fiction,6.6,653428261,2015-11-18 00:00:00
The Sorcerer's Apprentice,asy,5.8,215283742,2010-07-13 00:00:00
The Sorcerer's Apprentice,nture,5.8,215283742,2010-07-13 00:00:00
The Sorcerer's Apprentice,on,5.8,215283742,2010-07-13 00:00:00
The Sorcerer's Apprentice,dy,5.8,215283742,2010-07-13 00:00:00
The Sorcerer's Apprentice,a,5.8,215283742,2010-07-13 00:00:00
Poseidon,nture,5.5,181674817,2006-05-12 00:00:00
Poseidon,on,5.5,181674817,2006-05-12 00:00:00
Poseidon,a,5.5,181674817,2006-05-12 00:00:00
Poseidon,ller,5.5,181674817,2006-05-12 00:00:00
Alice Through the Looking Glass,asy,6.5,299370084,2016-05-25 00:00:00
Shrek the Third,asy,6.0,798958165,2007-05-17 00:00:00
Shrek the Third,nture,6.0,798958165,2007-05-17 00:00:00
Shrek the Third,ation,6.0,798958165,2007-05-17 00:00:00
Shrek the Third,dy,6.0,798958165,2007-05-17 00:00:00
Shrek the Third,ly,6.0,798958165,2007-05-17 00:00:00
Warcraft,on,6.3,433677183,2016-05-25 00:00:00
Warcraft,nture,6.3,433677183,2016-05-25 00:00:00
Warcraft,asy,6.3,433677183,2016-05-25 00:00:00
Terminator Genisys,nce Fiction,5.8,440603537,2015-06-23 00:00:00
Terminator Genisys,on,5.8,440603537,2015-06-23 00:00:00
Terminator Genisys,ller,5.8,440603537,2015-06-23 00:00:00
Terminator Genisys,nture,5.8,440603537,2015-06-23 00:00:00
The Chronicles of Narnia: The Voyage of the Dawn Treader,nture,6.2,415686217,2010-08-13 00:00:00
The Chronicles of Narnia: The Voyage of the Dawn Treader,ly,6.2,415686217,2010-08-13 00:00:00
The Chronicles of Narnia: The Voyage of the Dawn Treader,asy,6.2,415686217,2010-08-13 00:00:00
Pearl Harbor,ory,6.6,449220945,2001-05-21 00:00:00
Pearl Harbor,nce,6.6,449220945,2001-05-21 00:00:00
Transformers,nture,6.6,709709780,2007-06-27 00:00:00
Transformers,nce Fiction,6.6,709709780,2007-06-27 00:00:00
Transformers,on,6.6,709709780,2007-06-27 00:00:00
Alexander,ory,5.6,167298192,2004-11-21 00:00:00
Alexander,on,5.6,167298192,2004-11-21 00:00:00
Alexander,nture,5.6,167298192,2004-11-21 00:00:00
Alexander,a,5.6,167298192,2004-11-21 00:00:00
Alexander,nce,5.6,167298192,2004-11-21 00:00:00
Harry Potter and the Order of the Phoenix,nture,7.4,938212738,2007-06-28 00:00:00
Harry Potter and the Order of the Phoenix,asy,7.4,938212738,2007-06-28 00:00:00
Harry Potter and the Order of the Phoenix,ly,7.4,938212738,2007-06-28 00:00:00
Harry Potter and the Order of the Phoenix,ery,7.4,938212738,2007-06-28 00:00:00
Harry Potter and the Goblet of Fire,nture,7.5,895921036,2005-11-05 00:00:00
Harry Potter and the Goblet of Fire,asy,7.5,895921036,2005-11-05 00:00:00
Harry Potter and the Goblet of Fire,ly,7.5,895921036,2005-11-05 00:00:00
Hancock,asy,6.2,624029371,2008-07-01 00:00:00
Hancock,on,6.2,624029371,2008-07-01 00:00:00
I Am Legend,a,6.9,585349010,2007-12-14 00:00:00
I Am Legend,or,6.9,585349010,2007-12-14 00:00:00
I Am Legend,on,6.9,585349010,2007-12-14 00:00:00
I Am Legend,ller,6.9,585349010,2007-12-14 00:00:00
I Am Legend,nce Fiction,6.9,585349010,2007-12-14 00:00:00
Charlie and the Chocolate Factory,nture,6.7,474968763,2005-07-13 00:00:00
Charlie and the Chocolate Factory,dy,6.7,474968763,2005-07-13 00:00:00
Charlie and the Chocolate Factory,ly,6.7,474968763,2005-07-13 00:00:00
Charlie and the Chocolate Factory,asy,6.7,474968763,2005-07-13 00:00:00
Ratatouille,ation,7.5,623722818,2007-06-22 00:00:00
Ratatouille,dy,7.5,623722818,2007-06-22 00:00:00
Ratatouille,ly,7.5,623722818,2007-06-22 00:00:00
Ratatouille,asy,7.5,623722818,2007-06-22 00:00:00
Batman Begins,on,7.5,374218673,2005-06-10 00:00:00
Batman Begins,e,7.5,374218673,2005-06-10 00:00:00
Batman Begins,a,7.5,374218673,2005-06-10 00:00:00
Madagascar: Escape 2 Africa,ly,6.2,603900354,2008-10-30 00:00:00
Madagascar: Escape 2 Africa,ation,6.2,603900354,2008-10-30 00:00:00
Night at the Museum: Battle of the Smithsonian,nture,5.9,413106170,2009-05-20 00:00:00
